Country Name,Country Code,Series Name,Series Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,4.446890831,9.294527054,14.13361645,18.9711647,23.81418228,28.66967201,33.54441833,38.44000244,42.4,48.27900696,42.7,43.22201891,69.1,68.0408783,89.5,71.5,97.7,97.7,93.43087769,97.7,97.7
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10107195903,12378340846,15885775006,17781511592,19961261724,20209353777,20559672369,19249499539,18350475879,18961769797,18294514005,19080661934,20105156779
Afghanistan,AFG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,92.79327,92.74599,92.67295,92.63347,92.58691,92.55559,92.48339,92.40517,92.31226,92.19816,92.06179,92.09408,91.99947,91.83777,91.72083,91.54171,91.38989,91.08027,90.46854,89.79165,88.87564,88.07008,87.09895,86.01729,84.84682,83.63508,82.45041,82.78704,83.17302,84.33395
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,2645619,2957392,3420015,3754691,3965313,4105092,4242706,4385878,4546322,4594699,4618603,4924226,5315286,5541238,5787757,6071864,6119540,6214595,6509255,6743046,7098230,7520865,7881567,8285362,8630724,8913938,9254593,9613728,9991682,9105733
Afghanistan,AFG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59956E+11
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,99.4308548,99.42198944,99.40457916,99.38562775,99.37213898,99.37112427,99.38936615,99.42845154,100,99.55445099,99.64420319,99.71864319,99.9,99.89031219,99.95,99.98,99.89,99.89,100,100,100
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,1077859028,617074990.2,1219215469,1894750864,2436364853,3271323089,2308847103,2622487166,3287389862,3585007222,4048094111,4457186384,5762066193,7353974653,8214108577,9158294214,10975296959,12946373404,11852736925,11807769437,12894099799,12228069196,12996543353,13349419700,11521811394,12053832974,13051517644,15137984851,15200244588,14912504602
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,64.39864,65.08965,65.42902,65.54845,65.25574,64.75121,65.08923,64.88745,64.23538,63.54927,62.53649,61.75338,60.91959,60.03811,59.52432,58.4768,58.09601,60.17074,57.92355,56.70159,61.07844,63.06002,59.5182,57.92618,58.8124,58.60423,57.09852,55.48088,54.26823,54.17133
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1429833,1438342,1413557,1391914,1363163,1343448,1360590,1344921,1325723,1317402,1304704,1308103,1294847,1281167,1266465,1249959,1231498,1212147,1258916,1270655,1388801,1328695,1227940,1256110,1308343,1354998,1377319,1409389,1433004,1347461
Albania,ALB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1185120000,6116590100,19330590700,21328799700,28037779500,38853630000,33785530000,44131160000,74709050000,1.00818E+11,1.20203E+11,1.27872E+11,1.41291E+11,1.63889E+11,1.85062E+11,2.20013E+11,2.72741E+11,2.73437E+11,2.88738E+11,3.46846E+11,3.80322E+11,3.85682E+11,3.90386E+11,3.93657E+11,3.91098E+11,4.26693E+11,4.89536E+11,5.16748E+11,5.29638E+11,3.73271E+11
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,98.64002991,98.63796997,98.62735748,98.61521149,98.60852814,98.61431885,98.7,98.68524933,99.3,98.82485962,98.91090393,99.00265503,98.76466047,99.18792725,99.27455139,99.35619354,99.43369293,99.53002167,99.63774109,99.5,99.71877289
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,43168049164,45843140789,48195614970,40808325036,39574279248,44381551167,45957623524,46187780578,46350667435,52080377793,53138715069,54533965681,65345095079,81732028321,98106130020,1.12502E+11,1.33142E+11,1.69666E+11,1.35806E+11,1.60762E+11,1.9797E+11,2.06412E+11,2.056E+11,2.08874E+11,1.61667E+11,1.58474E+11,1.67559E+11,1.70507E+11,1.67561E+11,1.42799E+11
Algeria,DZA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,38.20111,38.28446,38.48556,38.70036,38.7645,38.74429,38.81124,38.69337,38.50457,38.20481,37.95043,36.54304,35.02799,34.2763,33.48732,33.11649,32.82964,32.69583,32.86463,32.8933,32.97218,31.9613,31.03448,31.20772,31.40818,31.55871,31.73116,31.88237,32.10817,31.02723
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.688,67.757,67.719,67.361,67.454,68.749,69.171,69.451,70.032,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,6625804,6864265,7143936,7424464,7678597,7968414,8233015,8477091,8701391,8926622,9145785,9355943,9556009,9747177,9916026,10077549,10244513,10402784,10551825,10832192,11067848,11293832,11793700,11279335,11709818,11918421,12067162,12221429,12396383,11857820
Algeria,DZA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,2.459E+11,2.654E+11,2.54E+11,3.36046E+11,5.21433E+11,7.64844E+11,8.59257E+11,6.3908E+11,9.11556E+11,1.73475E+12,1.5509E+12,1.60579E+12,2.00895E+12,2.46292E+12,3.56965E+12,4.14971E+12,4.40223E+12,5.29803E+12,3.52586E+12,4.6101E+12,5.65862E+12,5.97981E+12,5.52876E+12,5.2526E+12,3.87263E+12,3.65574E+12,4.2721E+12,5.274E+12,4.6565E+12,3.2279E+12
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,..,..,..,..,..,..,..,..,..,..,..,518000000,513000000,460000000,498000000,495000000,505000000,641000000,530000000,364000000,335000000,483000000,458000000,429000000,428000000,429000000,362000000,436000000,399000000,427000000
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3462356539,3268589821
Andorra,AND,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,24.2388649,20,26.32025528,27.35513687,28.39548492,29.44830894,30.52038765,37.5,38.49,33.84697723,34.98005295,34.6,37.25949097,38.3981781,32,42,41.78503418,42.90624237,45.29,45.63388062,46.95544434
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,10401188707,3498032357,3414876444,1943279030,4771491965,5062080384,6754412599,5537591457,4780892936,7448734813,7375089251,13650936353,16086223657,21063494095,32940012346,46203157598,57667388363,74821117194,63484055203,75712611890,1.02092E+11,1.17631E+11,1.22756E+11,1.27709E+11,85895384685,50010057163,69161228522,73313113210,64488157731,44145038205
Angola,AGO,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,62.90433,63.00621,63.56104,64.02597,64.25743,64.19424,64.0873,63.96013,63.8135,63.83563,64.00182,63.7994,64.01463,64.08075,64.86628,65.8515,66.56773,67.34651,68.98878,70.50878,71.89813,68.96505,66.20591,63.33441,63.10598,63.3159,63.61942,64.10494,64.71666,66.26393
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,5044501,5202054,5360710,5527396,5710800,5910932,6121075,6337219,6557385,6786985,7031079,7285806,7554547,7838390,8133535,8442257,8762915,9093722,9435748,9793696,10176620,10567776,10968484,11377486,11795033,12232879,12689061,13153405,13629799,13979133
Angola,AGO,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,..,..,..,..,..,..,..,..,..,..,..,3.79835E+11,7.21898E+11,1.14868E+12,2.11149E+12,2.67185E+12,3.39959E+12,4.81477E+12,3.2771E+12,4.73984E+12,6.37092E+12,6.83865E+12,6.69608E+12,6.40205E+12,4.15085E+12,4.65448E+12,5.8769E+12,1.04654E+13,1.2372E+13,1.2146E+13
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.94065094,96.11813354,96.29494476,96.47039032,96.64379883,96.81448364,96.98177338,97.14498138,97.30335236,97.67312622,97.74580383,100,97.87252045,97.94057465,92.2,100,100,100,98.53059387,98.69137573,94.55201403,100,100,100,100,100,100,100,100,100
Antigua and Barbuda,ATG,GNI (current US$),NY.GNP.MKTP.CD,449507407.4,469614814.8,512237037,562870370.4,550422222.2,607511111.1,658462963,706822222.2,742754814.8,781851481.5,775693333.3,772934777.8,817700000,874644296.3,980922740.7,1110919630,1260091852,1308986333,1177509333,1120979667,1246271926,1287481074,1286765889,1318074074,1353540741,1392588889,1455144444,1581303704,1645077778,1390825926
Antigua and Barbuda,ATG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.435,73.417,73.482,73.591,73.636,73.829,73.96,74.041,74.347,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841
Antigua and Barbuda,ATG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2773670000,2744190000,2816320000,2669470000,2802510000,3224050000,1596450000
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.4921875,92.82945251,93.16604614,93.50127411,93.83446503,94.16493988,94.49201202,94.81500244,95.13315582,95.68047333,95.51106347,96.09600067,96.29795074,96.50537109,96.7252655,96.96440887,97.22439575,97.50160217,97.79220581,98.82,99.0342865,99.14379883,99.28577423,100,99.68903351,99.89974213,100,99.99373627,100,100
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,1.83857E+11,2.24521E+11,2.33744E+11,2.53743E+11,2.53363E+11,2.66648E+11,2.86641E+11,2.91542E+11,2.76059E+11,2.76656E+11,2.6097E+11,92763789033,1.22452E+11,1.46362E+11,1.76153E+11,2.24897E+11,2.79994E+11,3.52615E+11,3.22744E+11,4.09192E+11,5.15005E+11,5.33074E+11,5.40186E+11,5.15532E+11,5.83615E+11,5.45252E+11,6.272E+11,5.06094E+11,4.30167E+11,3.75344E+11
Argentina,ARG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,29.73513,29.8487,31.20016,29.78862,29.35588,29.19931,28.25191,27.84968,27.56029,27.60709,28.18018,28.33186,26.30636,25.61694,25.2513,24.3523,23.64322,23.68281,24.04349,23.55724,23.09704,22.99516,23.54743,23.65348,24.14722,24.80215,25.33999,25.52883,26.50717,26.99999
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,13851438,14265143,14693482,15067576,15197489,15564039,16000379,16317383,16415836,16591905,16648514,16474698,16943192,17425150,17545905,17877291,17924078,17966575,18324357,18255867,18663922,18835226,18964106,19049721,19229476,19404277,19580710,20103008,20607477,19406591
Argentina,ARG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,13884000300,14954000400,16340960000,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,88718321700,97476877900,1.15688E+11,1.35416E+11,1.64849E+11,2.0328E+11,2.53622E+11,2.44107E+11,3.14627E+11,4.02013E+11,4.28341E+11,4.89428E+11,6.59639E+11,6.37469E+11,1.03075E+12,1.20677E+12,2.12866E+12,3.86432E+12,4.5183E+12
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,98.9,100,98,99.10691071,99.09443665,99.8,99.11369324,99.15378571,99.21111298,99.28181458,99.8,99.49461365,99.53586578,99.42,99.71,100,99.8,99.7,99.9,100,100
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,2067532468,1063520722,1200012844,1311138636,1507838735,1641698946,1736697183,1952541821,1900438466,1970535936,2182070541,2458706348,2899936468,3724967487,5106475890,6686478969,9703722073,12353321002,9006718596,9718566996,10502185417,11042356845,11804011412,12131729270,10981745036,10791195837,11933013893,12658281184,13798994782,12445454608
